brand,total,severe,serious,industry,first_year,last_year,severe_rate,peak_year,peak_count,peak_ratio,onset_year,onset_ratio,is_spike,watch_score
"PETER PAN PEANUT BUTTER, CREAMY",28,2,2,Nuts/Edible Seed,2007,2010,7.1,2007,26,13.0,,0.0,True,50.2
SELENIUM,41,27,40,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2016,65.9,2014,8,2.0,,0.0,False,50.2
GENERAL MILLS HONEY NUT CHEERIOS,24,5,10,Cereal Prep/Breakfast Food,2007,2017,20.8,2015,10,5.0,,0.0,True,49.8
SHRIMP,25,10,11,Fishery/Seafood Prod,2004,2017,40.0,2007,6,3.0,,0.0,False,49.7
MIXED FRUIT PLATTER,35,0,35,Fruit/Fruit Prod,2015,2015,0.0,2015,35,35.0,,0.0,True,49.7
GINKGO BILOBA,28,17,23,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,60.7,2008,4,2.0,,0.0,False,49.3
HERBALIFE SNACK DEFENSE,23,20,23,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2014,87.0,2009,6,1.5,,0.0,False,49.3
HERBALIFE CELL-U-LOSS,53,47,51,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2015,88.7,2008,10,1.4,,0.0,False,49.2
ONE A DAY ESSENTIAL (MULTIVITAMINS) TABLET,32,5,32,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,15.6,2016,17,5.7,2016.0,4.2,True,49.0
HYDROXYCUT WITH EPHEDRA,26,13,25,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2012,50.0,2012,14,2.3,,0.0,False,49.0
CRANBERRY,32,14,29,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2017,43.8,2016,8,2.7,,0.0,False,49.0
B-12,21,10,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2016,47.6,2016,6,2.4,,0.0,False,48.7
CABBAGE,30,0,0,Vegetables/Vegetable Products,2012,2012,0.0,2012,30,30.0,,0.0,True,48.6
CARIDANANDO CURRY POWDER,30,0,0,"Spices, Flavors And Salts",2012,2012,0.0,2012,30,30.0,,0.0,True,48.6
CARROT,29,0,0,Vegetables/Vegetable Products,2012,2012,0.0,2012,29,29.0,,0.0,True,48.3
QUORN CHICK'N NUGGETS,29,0,0,Vegetables/Vegetable Products,2017,2017,0.0,2017,29,29.0,,0.0,True,48.3
HERBALIFE FORMULA 2 MULTIVITAMIN COMPLEX,21,17,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2015,81.0,2014,6,1.5,,0.0,False,48.1
B COMPLEX,55,16,48,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,29.1,2016,13,4.3,,0.0,True,48.0
CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS MULTIVITAMINS) TABLET,23,1,22,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2015,4.3,2012,14,14.0,,0.0,True,48.0
UNCLE BEN'S INFUSED RICE MEXICAN FLAVOR,26,0,0,Whole Grain/Milled Grain Prod/Starch,2014,2014,0.0,2014,26,26.0,,0.0,True,47.3
QUORN PATTY,25,0,0,Vegetables/Vegetable Products,2017,2017,0.0,2017,25,25.0,,0.0,True,46.9
"A THOUSAND VIRGINS, G3 (GREY WASH TATTOO INK)",25,0,0,Cosmetics,2015,2015,0.0,2015,25,25.0,,0.0,True,46.9
HYDROXYCUT MAX LIQUID CAPS,33,12,33,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2012,36.4,2011,20,3.1,2011.0,4.0,False,46.2
VITAMIN B-12,54,17,50,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2017,31.5,2016,18,3.6,,0.0,False,46.2
WEN BY CHAZ DEAN,27,3,17,Cosmetics,2014,2017,11.1,2016,20,5.7,2016.0,5.0,True,45.9
CENTRUM SILVER WOMEN'S 50+,32,1,32,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2014,3.1,2012,30,15.0,,0.0,True,45.8
PRESERVISION AREDS SOFT GELS,23,11,23,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2017,47.8,2011,5,2.0,,0.0,False,45.8
AMERICAN AIRLINES FLIGHT 2163 CHICKEN DINNER,23,0,0,Mult Food Dinner/Grav/Sauce/Special,2004,2004,0.0,2004,23,23.0,,0.0,True,45.7
QUORN TENDERS,23,0,0,Vegetables/Vegetable Products,2017,2017,0.0,2017,23,23.0,,0.0,True,45.7
QUORN MEATBALLS,29,1,4,Vegetables/Vegetable Products,2013,2017,3.4,2017,27,13.5,,0.0,True,45.5
OMEGAPLEX,59,17,56,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2017,28.8,2015,19,3.8,,0.0,False,45.4
FLINTSTONES GUMMIES (MULTIVITAMINS),26,1,26,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2012,3.8,2012,24,12.0,,0.0,True,45.4
WEN CONDITIONING SHAMPOO,20,1,13,Cosmetics,2016,2017,5.0,2016,18,9.0,,0.0,True,45.3
FLINSTONES COMPLETE (MULTIVITAMINS) CHEWABLE TABLET,21,3,21,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2013,14.3,2012,15,5.0,,0.0,True,45.3
WEN HAIR PRODUCTS,43,3,29,Cosmetics,2014,2017,7.0,2016,34,7.6,,0.0,True,45.1
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",222,30,221,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2017,13.5,2011,60,5.0,2016.0,4.0,True,45.1
RELACORE,49,12,22,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2011,24.5,2006,19,4.2,,0.0,True,45.0
WEN HAIR CARE PRODUCTS,24,2,17,Cosmetics,2016,2017,8.3,2016,21,7.0,,0.0,True,44.9
PRESERVISION AREDS 2 FORMULA SOFT GELS,44,7,44,Vit/Min/Prot/Unconv Diet(Human/Animal),2014,2016,15.9,2016,31,4.8,,0.0,True,44.8
CENTRUM SILVER WOMEN'S 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,21,0,21,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2012,0.0,2012,21,21.0,,0.0,True,44.7
CALCIUM WITH VITAMIN D,22,10,19,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,45.5,2013,4,2.0,,0.0,False,44.7
"CENTRUM (MULTIMINERALS, MULTIVITAMINS)",30,5,30,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2016,16.7,2011,14,4.7,,0.0,True,44.6
RAW CLAMS,78,25,26,Fishery/Seafood Prod,2004,2014,32.1,2012,15,3.3,,0.0,False,44.3
PHILLIPS' COLON HEALTH (BIFIDOBACTERIUM + LACTOBACILLUS) CAPSULE,54,5,54,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2017,9.3,2013,24,6.0,,0.0,True,44.1
HYDROXYCUT CAFFEINE-FREE CAPLETS,40,14,39,Vit/Min/Prot/Unconv Diet(Human/Animal),2009,2012,35.0,2011,21,3.0,,0.0,False,44.0
CATALYST BOTTLE,26,9,26,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2017,34.6,2015,6,3.0,,0.0,False,43.8
WEN SWEET ALMOND MINT,55,0,33,Cosmetics,2016,2017,0.0,2016,52,17.3,,0.0,True,43.5
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",617,49,615,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,7.9,2013,332,6.3,2013.0,5.2,True,43.3
CALTRATE (CALCIUM CARBONATE),21,6,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2015,28.6,2013,7,3.5,,0.0,False,43.1
COFFEE,36,4,10,Coffee/Tea,2004,2017,11.1,2009,10,5.0,,0.0,True,42.9
COCA COLA DIET COKE,25,5,7,Soft Drink/Water,2004,2016,20.0,2008,6,4.0,,0.0,False,42.8
SPLENDA,88,23,51,Food Additives (Human Use),2004,2017,26.1,2008,16,3.6,,0.0,False,42.8
CO Q-10,22,11,22,Vit/Min/Prot/Unconv Diet(Human/Animal),2013,2016,50.0,2016,7,1.4,,0.0,False,42.7
"ONE A DAY MEN'S HEALTH FORMULA (MULTIVITAMINS, MINERALS, LYCOPENE) FILM-COATED TABLET",63,2,63,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2016,3.2,2013,45,10.0,,0.0,True,42.7
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",157,2,157,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2015,1.3,2011,95,10.6,2011.0,10.6,True,42.5
VITAMIN C ASCORBIC ACID,24,4,24,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2015,16.7,2011,11,4.4,,0.0,True,42.4
KRILL OIL,33,12,29,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2017,36.4,2013,9,2.6,,0.0,False,42.3
QUORN CHICKEN CUTLETS,31,0,2,Vegetables/Vegetable Products,2013,2017,0.0,2017,29,14.5,,0.0,True,41.8
VITAMIN A,51,20,42,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2016,39.2,2015,9,2.2,,0.0,False,41.7
BRAZILIAN BLOWOUT,41,8,21,Cosmetics,2010,2017,19.5,2011,13,3.7,,0.0,False,41.2
RED YEAST RICE,38,16,35,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,42.1,2016,6,1.7,,0.0,False,41.0
CENTRUM,49,13,45,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,26.5,2016,10,3.3,,0.0,False,40.8
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",27,6,27,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2017,22.2,2013,7,3.5,,0.0,False,40.7
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",150,37,150,Vit/Min/Prot/Unconv Diet(Human/Animal),2014,2017,24.7,2016,82,3.4,,0.0,False,40.7
CHICKEN,35,0,0,"Meat, Meat Products and Poultry",2006,2012,0.0,2012,30,12.0,,0.0,True,40.4
CENTRUM SILVER ULTRA WOMEN'S MULTIMINERALS MULTIVITAMINS TABLET,43,1,43,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2015,2.3,2012,30,8.6,2012.0,6.0,True,39.9
FLINTSTONES COMPLETE (MULTIVITAMINS + MINERALS) CHEWABLE TABLET,34,9,34,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,26.5,2013,13,3.2,,0.0,False,39.8
SUPER BETA VIRILITY BOOST,21,7,18,Vit/Min/Prot/Unconv Diet(Human/Animal),2016,2017,33.3,2017,15,2.5,,0.0,False,39.6
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,37,4,36,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2015,10.8,2012,16,4.6,,0.0,True,39.2
FLINTSTONES COMPLETE MULTIVITAMINS CHEWABLE TABLET,56,6,55,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2012,10.7,2012,46,4.6,2012.0,4.6,True,38.9
"CENTRUM SILVER WOMEN'S 50 + (MULTIMINERALS, MULTIVITAMINS) TABLET",24,0,24,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2014,0.0,2013,20,10.0,,0.0,True,38.9
JIF CREAMY PEANUT BUTTER,43,0,0,Nuts/Edible Seed,2004,2016,0.0,2009,20,10.0,2009.0,6.7,True,38.9
GARCINIA CAMBOGIA,30,12,21,Vit/Min/Prot/Unconv Diet(Human/Animal),2013,2016,40.0,2015,10,1.4,,0.0,False,38.0
HONEY NUT CHEERIOS,39,11,31,Cereal Prep/Breakfast Food,2015,2017,28.2,2015,23,2.9,,0.0,False,37.7
CALCIUM CITRATE,25,3,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,12.0,2016,6,4.0,,0.0,False,37.6
"CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",80,6,80,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2015,7.5,2013,38,4.8,2013.0,4.8,True,37.1
SALAD,23,0,1,Vegetables/Vegetable Products,2004,2015,0.0,2010,8,8.0,,0.0,False,36.5
"CENTRUM SILVER WOMENS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",72,2,71,Vit/Min/Prot/Unconv Diet(Human/Animal),2013,2015,2.8,2014,55,6.5,2014.0,4.6,True,36.5
MNS MAX 3,22,7,22,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2016,31.8,2015,7,2.3,,0.0,False,36.3
ONE A DAY WOMEN'S 50 PLUS ADVANTAGE,24,6,22,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2011,25.0,2008,11,2.8,,0.0,False,36.1
TOMATOES,22,2,2,Vegetables/Vegetable Products,2004,2015,9.1,2008,9,4.5,,0.0,False,36.1
TRADER JOE'S RAW PINE NUTS,20,0,0,Nuts/Edible Seed,2009,2014,0.0,2011,11,7.3,,0.0,True,35.5
FISH OIL (FISH OIL),21,0,21,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2017,0.0,2013,11,7.3,,0.0,True,35.5
OMEGA 3 FISH OIL,33,10,31,Vit/Min/Prot/Unconv Diet(Human/Animal),2005,2017,30.3,2010,7,2.3,,0.0,False,35.2
B-COMPLEX,33,5,27,Vit/Min/Prot/Unconv Diet(Human/Animal),2009,2017,15.2,2016,10,3.3,,0.0,False,34.7
DIET PEPSI,25,9,19,Soft Drink/Water,2004,2016,36.0,2007,4,1.6,,0.0,False,34.0
ONE A DAY MEN'S HEALTH FORMULA,27,5,27,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2015,18.5,2008,8,2.7,,0.0,False,32.8
ASPARTAME,20,6,9,Food Additives (Human Use),2004,2016,30.0,2015,5,2.0,,0.0,False,32.4
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) UNKNOWN",24,4,24,Vit/Min/Prot/Unconv Diet(Human/Animal),2013,2017,16.7,2016,11,2.8,,0.0,False,32.1
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",57,6,57,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2017,10.5,2016,17,3.4,,0.0,False,31.9
CALTRATE (CALCIUM CARBONATE) TABLET,33,6,33,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2016,18.2,2011,13,2.6,,0.0,False,31.9
TRUBIOTICS (BIFIDOBACTERIUM + LACTOBACILLUS) CAPSULE,31,4,31,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,12.9,2013,12,3.0,,0.0,False,31.3
VITAMIN E (TOCOPHEROL),24,3,24,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2016,12.5,2013,6,3.0,,0.0,False,31.0
HYDROXYCUT REGULAR DRINK MIX SACHETS,21,7,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2012,33.3,2011,8,1.2,,0.0,False,30.8
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",96,18,96,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,18.8,2016,26,2.4,2013.0,6.0,False,30.7
CENTRUM SILVER,170,52,162,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,30.6,2015,21,1.5,,0.0,False,30.0
ONE A DAY WOMEN'S (MULTIVITAMINS + MINERALS) FILM-COATED TABLET,85,3,84,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,3.5,2013,41,4.6,,0.0,True,29.8
TATTOO INK,24,3,15,Cosmetics,2012,2016,12.5,2015,10,2.9,,0.0,False,29.8
"CENTRUM ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",33,0,33,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2014,0.0,2012,18,5.1,2012.0,6.0,True,29.8
FLINTSTONES COMPLETE (MULTIVITAMINS) CHEWABLE TABLET,49,5,49,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2012,10.2,2012,30,3.2,2011.0,5.3,False,29.5
VITAMIN D (ERGOCALCIFEROL),76,12,76,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2017,15.8,2013,15,2.5,,0.0,False,29.3
CITRACAL (CHOLECALCIFEROL + CALCIUM CITRATE) COATED TABLET,22,1,22,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2017,4.5,2013,6,4.0,,0.0,False,29.2
TRADER JOE'S DRY TOASTED PIGNOLIAS,21,0,0,Nuts/Edible Seed,2010,2014,0.0,2011,15,5.0,2011.0,5.0,True,28.8
FLINTSTONES COMPLETE,26,5,25,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2012,19.2,2012,9,2.2,,0.0,False,28.8
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",107,18,107,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,16.8,2013,37,2.3,2013.0,5.3,False,28.7
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,60,3,59,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2015,5.0,2011,26,3.7,,0.0,False,28.6
ONE A DAY WOMEN'S,77,19,77,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2012,24.7,2008,34,1.9,,0.0,False,28.6
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,108,11,108,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2017,10.2,2016,35,3.0,,0.0,False,28.0
CENTRUM SILVER ULTRA WOMEN'S,44,3,44,Vit/Min/Prot/Unconv Diet(Human/Animal),2009,2012,6.8,2012,24,3.4,,0.0,False,27.4
MILK,34,3,4,Milk/Butter/Dried Milk Prod,2004,2016,8.8,2009,6,3.0,,0.0,False,26.5
PEPSI COLA,26,3,4,Soft Drink/Water,2004,2016,11.5,2015,5,2.5,,0.0,False,26.5
EOS LIP BALM,49,2,33,Cosmetics,2014,2017,4.1,2016,25,3.6,,0.0,False,26.0
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",72,8,71,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2017,11.1,2011,19,2.4,2011.0,6.3,False,25.1
AMPORT FOODS PINE NUTS,25,0,0,Nuts/Edible Seed,2009,2015,0.0,2011,9,4.5,,0.0,False,24.7
ONE A DAY WOMENS (MULTIVITAMINS + MINERALS) FILM-COATED TABLET,24,1,24,Vit/Min/Prot/Unconv Diet(Human/Animal),2014,2016,4.2,2014,15,3.3,,0.0,False,23.9
VITAMIN D CHOLECALCIFEROL,42,5,42,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2015,11.9,2013,14,2.2,,0.0,False,23.8
VITAMIN B12 (CYANOCOBALAMIN),34,2,34,Vit/Min/Prot/Unconv Diet(Human/Animal),2008,2017,5.9,2013,9,3.0,,0.0,False,23.3
PINE NUTS,60,0,5,Nuts/Edible Seed,2009,2017,0.0,2011,17,4.2,,0.0,True,23.3
"CENTRUM WOMEN UNDER 50 (MULTIMINERALS, MULTIVITAMINS) TABLET",26,0,26,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2016,0.0,2013,12,4.0,2013.0,4.0,True,22.3
FRESH EXPRESS SPINACH,22,1,1,Vegetables/Vegetable Products,2005,2016,4.5,2006,6,3.0,,0.0,False,22.2
"CENTRUM SILVER WOMEN'S 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",36,4,36,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2016,11.1,2016,12,1.8,2016.0,4.0,False,20.1
EMERGEN-C,24,2,23,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2015,8.3,2012,11,2.2,,0.0,False,19.6
VITAMIN D3 CHOLECALCIFEROL,34,4,34,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2015,11.8,2014,11,1.6,,0.0,False,19.5
ESTROVEN MAXIMUM STRENGTH,21,2,20,Vit/Min/Prot/Unconv Diet(Human/Animal),2009,2015,9.5,2012,5,2.0,,0.0,False,19.5
"EMERGEN-C (ASCORBIC ACID, B-COMPLEX, ELECTROLYTE, MULTIMINERAL, MULTIVIT, ZINC) POWDER FOR ORAL SOLUTION",63,6,63,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2017,9.5,2012,19,1.9,,0.0,False,18.6
ONE A DAY WOMEN'S 50+ HEALTHY ADVANTAGE (MULTIVITAMINS + MINERALS) FILM-COATED TABLET,64,4,64,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2016,6.2,2013,23,2.3,2013.0,4.6,False,18.2
CITRACAL MAXIMUM (CHOLECALCIFEROL +CALCIUM CITRATE) FILM-COATED TABLET,25,1,25,Vit/Min/Prot/Unconv Diet(Human/Animal),2014,2017,4.0,2016,9,2.2,,0.0,False,14.4
CITRACAL PETITES (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,107,7,106,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2017,6.5,2016,27,1.7,2013.0,6.0,False,13.9
LACTAID FAST ACT,26,2,18,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2017,7.7,2012,5,1.4,,0.0,False,13.8
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,132,6,132,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2015,4.5,2012,45,1.6,,0.0,False,11.7
SHOWER TO SHOWER TALCUM POWDER,31,0,31,Cosmetics,2015,2017,0.0,2016,17,2.4,,0.0,False,11.0
QUORN,62,2,8,Vegetables/Vegetable Products,2006,2017,3.2,2012,25,1.9,,0.0,False,10.5
CENTRUM SILVER ULTRA WOMENS MULTIMINERAL MULTIVITAMINS TABLET,27,1,27,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2012,3.7,2011,15,1.2,,0.0,False,7.7
TRADER JOE'S PINE NUTS,25,0,0,Nuts/Edible Seed,2010,2014,0.0,2011,11,1.8,,0.0,False,6.0
CITRACAL PETITES (CHOLECALCIFEROL +CALCIUM CITRATE) FILM-COATED TABLET,25,0,25,Vit/Min/Prot/Unconv Diet(Human/Animal),2014,2017,0.0,2017,10,1.7,,0.0,False,5.4
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,121,1,121,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2012,0.8,2011,64,1.1,,0.0,False,5.4
CENTRUM ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,26,0,26,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2012,0.0,2011,13,1.0,,0.0,False,2.7
